Successfull forks, Failed forks, Average honest reward, Average malicious reward
0,2,260372.27272727274,151788.0
1,4,257086.81818181818,140042.5
3,3,240659.54545454544,169858.0
1,4,271050.0,109323.5
1,4,265711.13636363635,140042.5
1,5,265300.45454545453,115648.0
1,5,273924.7727272727,115648.0
2,6,271050.0,109323.5
1,4,259961.5909090909,133718.0
2,1,235320.68181818182,194252.5
1,3,254622.72727272726,164437.0
1,4,273924.7727272727,109323.5
2,1,224232.27272727274,224971.5
3,4,240659.54545454544,169858.0
2,4,262836.36363636365,133718.0
1,4,259961.5909090909,140042.5
1,4,262836.36363636365,140042.5
2,2,238195.45454545456,200577.0
0,6,287477.2727272727,66859.0
1,4,254212.04545454544,127393.5
0,1,249283.86363636365,188831.5
0,1,240659.54545454544,195156.0
2,2,229571.13636363635,194252.5
2,2,238195.45454545456,194252.5
1,2,243534.31818181818,182507.0
0,2,257497.5,164437.0
2,3,245998.4090909091,145463.5
1,2,246409.0909090909,176182.5
1,2,257497.5,164437.0
1,1,241070.22727272726,213226.0
0,7,292816.13636363635,42464.5
2,3,254622.72727272726,151788.0
1,3,254622.72727272726,158112.5
0,1,249283.86363636365,182507.0
0,1,243534.31818181818,195156.0
1,2,240659.54545454544,169858.0
0,3,265711.13636363635,146367.0
1,2,249283.86363636365,176182.5
1,1,238195.45454545456,200577.0
0,2,257497.5,170761.5
1,3,248873.18181818182,164437.0
1,1,252158.63636363635,188831.5
0,6,293226.8181818182,73183.5
1,2,254622.72727272726,164437.0
2,3,243534.31818181818,182507.0
1,3,257497.5,164437.0
0,1,249283.86363636365,195156.0
1,2,243534.31818181818,188831.5
1,0,224232.27272727274,224971.5
1,1,238195.45454545456,213226.0
0,3,265711.13636363635,140042.5
1,3,254622.72727272726,158112.5
1,2,243534.31818181818,176182.5
0,2,260372.27272727274,170761.5
0,2,254622.72727272726,164437.0
1,3,257497.5,158112.5
0,3,268585.9090909091,146367.0
0,3,268585.9090909091,140042.5
0,4,273924.7727272727,115648.0
1,0,232856.5909090909,218647.0
1,1,232445.9090909091,200577.0
0,5,282138.4090909091,97578.0
0,0,238195.45454545456,213226.0
0,1,246409.0909090909,195156.0
1,2,243534.31818181818,182507.0
1,2,246409.0909090909,188831.5
0,3,268585.9090909091,146367.0
1,2,249283.86363636365,176182.5
0,2,260372.27272727274,164437.0
1,1,235320.68181818182,200577.0
0,3,262836.36363636365,146367.0
0,2,260372.27272727274,170761.5
0,1,249283.86363636365,188831.5
0,4,271050.0,115648.0
1,1,235320.68181818182,200577.0
1,1,241070.22727272726,213226.0
1,2,243534.31818181818,169858.0
2,3,240659.54545454544,182507.0
0,4,273924.7727272727,115648.0
1,3,254622.72727272726,158112.5
1,2,243534.31818181818,182507.0
1,3,251747.95454545456,158112.5
1,1,238195.45454545456,213226.0
1,1,232445.9090909091,206901.5
0,1,252158.63636363635,188831.5
0,3,265711.13636363635,133718.0
1,2,243534.31818181818,188831.5
0,2,257497.5,164437.0
0,3,265711.13636363635,146367.0
0,4,273924.7727272727,115648.0
0,0,241070.22727272726,219550.5
1,1,243534.31818181818,188831.5
1,1,235320.68181818182,206901.5
0,2,260372.27272727274,170761.5
1,2,243534.31818181818,188831.5
1,0,224232.27272727274,231296.0
0,0,238195.45454545456,219550.5
0,1,252158.63636363635,188831.5
0,2,257497.5,170761.5
0,4,273924.7727272727,121972.5
0,2,254622.72727272726,151788.0
0,4,271050.0,121972.5
0,2,254622.72727272726,158112.5
0,2,260372.27272727274,170761.5
0,2,254622.72727272726,170761.5
0,2,257497.5,170761.5
0,2,254622.72727272726,158112.5
0,2,260372.27272727274,170761.5
0,1,246409.0909090909,195156.0
0,2,251747.95454545456,170761.5
2,3,246409.0909090909,176182.5
0,2,257497.5,164437.0
0,3,262836.36363636365,140042.5
0,2,260372.27272727274,170761.5
0,1,246409.0909090909,176182.5
0,4,271050.0,115648.0
0,2,257497.5,170761.5
0,1,249283.86363636365,182507.0
1,2,249283.86363636365,182507.0
0,0,238195.45454545456,213226.0
0,1,249283.86363636365,195156.0
0,4,271050.0,121972.5
0,3,262836.36363636365,146367.0
2,3,243534.31818181818,176182.5
0,1,252158.63636363635,188831.5
0,2,260372.27272727274,170761.5
0,1,249283.86363636365,188831.5
0,1,252158.63636363635,195156.0
0,1,252158.63636363635,188831.5
0,1,249283.86363636365,195156.0
0,2,260372.27272727274,164437.0
1,0,243945.0,200577.0
0,1,249283.86363636365,195156.0
0,2,257497.5,164437.0
0,3,265711.13636363635,146367.0
0,1,246409.0909090909,195156.0
0,1,252158.63636363635,195156.0
1,0,229981.81818181818,231296.0
0,0,243945.0,213226.0
0,1,249283.86363636365,182507.0
0,1,246409.0909090909,195156.0
0,2,257497.5,170761.5
0,1,249283.86363636365,188831.5
1,4,262836.36363636365,133718.0
0,1,252158.63636363635,182507.0
0,1,249283.86363636365,195156.0
0,2,257497.5,164437.0
0,1,249283.86363636365,195156.0
0,3,268585.9090909091,140042.5
0,0,241070.22727272726,219550.5
1,3,257497.5,158112.5
0,2,257497.5,170761.5
0,1,252158.63636363635,195156.0
0,1,252158.63636363635,188831.5
1,4,265711.13636363635,133718.0
0,0,238195.45454545456,213226.0
0,0,243945.0,219550.5
0,2,260372.27272727274,170761.5
1,1,238195.45454545456,200577.0
0,1,249283.86363636365,195156.0
0,1,252158.63636363635,188831.5
1,2,249283.86363636365,182507.0
0,0,235320.68181818182,213226.0
0,3,265711.13636363635,140042.5
0,0,241070.22727272726,213226.0
0,2,260372.27272727274,170761.5
0,1,252158.63636363635,195156.0
0,1,249283.86363636365,195156.0
0,2,260372.27272727274,170761.5
0,0,241070.22727272726,213226.0
0,0,243945.0,213226.0
0,0,243945.0,213226.0
0,0,243945.0,219550.5
0,1,249283.86363636365,195156.0
0,0,238195.45454545456,219550.5
0,3,268585.9090909091,146367.0
0,0,243945.0,219550.5
1,2,260372.27272727274,158112.5
0,1,252158.63636363635,195156.0
0,0,243945.0,213226.0
0,1,249283.86363636365,182507.0
0,2,257497.5,170761.5
0,3,268585.9090909091,146367.0
0,2,257497.5,170761.5
0,0,241070.22727272726,219550.5
0,1,252158.63636363635,195156.0
0,0,241070.22727272726,219550.5
0,1,246409.0909090909,195156.0
0,1,252158.63636363635,195156.0
0,1,252158.63636363635,182507.0
0,3,268585.9090909091,146367.0
0,1,252158.63636363635,195156.0
0,2,260372.27272727274,170761.5
0,1,249283.86363636365,195156.0
0,2,260372.27272727274,170761.5
0,0,243945.0,213226.0
0,0,241070.22727272726,213226.0
0,1,249283.86363636365,195156.0
0,0,241070.22727272726,219550.5
0,0,241070.22727272726,213226.0
0,1,249283.86363636365,195156.0
0,1,252158.63636363635,195156.0
2,1,238195.45454545456,206901.5
0,2,257497.5,170761.5
1,3,257497.5,164437.0
0,1,252158.63636363635,195156.0
0,0,243945.0,213226.0
0,0,243945.0,219550.5
0,1,249283.86363636365,188831.5
0,3,265711.13636363635,146367.0
0,0,243945.0,219550.5
0,1,249283.86363636365,195156.0
0,0,243945.0,213226.0
0,0,243945.0,213226.0
0,2,260372.27272727274,170761.5
0,1,249283.86363636365,188831.5
0,0,243945.0,213226.0
0,1,252158.63636363635,188831.5
0,3,268585.9090909091,146367.0
0,2,254622.72727272726,170761.5
0,2,260372.27272727274,170761.5
0,0,243945.0,219550.5
0,1,252158.63636363635,195156.0
0,2,257497.5,170761.5
0,1,252158.63636363635,195156.0
0,1,249283.86363636365,188831.5
0,1,252158.63636363635,195156.0
0,2,260372.27272727274,164437.0
0,3,268585.9090909091,146367.0
0,1,249283.86363636365,195156.0
0,0,243945.0,219550.5
0,2,257497.5,164437.0
0,1,249283.86363636365,195156.0
0,3,265711.13636363635,146367.0
0,0,243945.0,219550.5
0,1,252158.63636363635,195156.0
0,1,252158.63636363635,195156.0
0,1,249283.86363636365,195156.0
0,1,249283.86363636365,188831.5
0,1,252158.63636363635,188831.5
0,2,260372.27272727274,170761.5
0,2,260372.27272727274,170761.5
0,0,243945.0,213226.0
0,2,260372.27272727274,170761.5
0,2,260372.27272727274,170761.5
0,1,252158.63636363635,195156.0
0,0,243945.0,213226.0
0,1,249283.86363636365,188831.5
0,0,243945.0,219550.5
0,1,252158.63636363635,195156.0
1,2,249283.86363636365,182507.0
0,0,241070.22727272726,213226.0
0,1,252158.63636363635,188831.5
0,1,246409.0909090909,195156.0
0,1,249283.86363636365,195156.0
0,1,252158.63636363635,195156.0
0,1,249283.86363636365,182507.0
0,1,252158.63636363635,188831.5
0,1,252158.63636363635,188831.5
1,0,229981.81818181818,224971.5
0,2,257497.5,164437.0
0,1,252158.63636363635,195156.0
0,1,246409.0909090909,195156.0
0,0,241070.22727272726,213226.0
0,0,243945.0,219550.5
1,2,260372.27272727274,164437.0
1,1,241070.22727272726,206901.5
0,0,238195.45454545456,219550.5
1,1,241070.22727272726,206901.5
0,2,257497.5,170761.5
0,0,241070.22727272726,219550.5
0,1,252158.63636363635,195156.0
0,0,243945.0,219550.5
0,1,252158.63636363635,195156.0
0,2,257497.5,170761.5
0,0,241070.22727272726,219550.5
0,1,249283.86363636365,188831.5
0,1,252158.63636363635,195156.0
0,1,249283.86363636365,188831.5
0,2,260372.27272727274,170761.5
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,2,260372.27272727274,170761.5
0,1,252158.63636363635,195156.0
0,1,252158.63636363635,195156.0
0,0,243945.0,213226.0
0,0,243945.0,219550.5
0,1,252158.63636363635,195156.0
0,1,252158.63636363635,195156.0
0,1,249283.86363636365,195156.0
0,0,243945.0,219550.5
0,0,243945.0,213226.0
0,2,260372.27272727274,170761.5
0,1,252158.63636363635,188831.5
0,0,243945.0,213226.0
0,1,252158.63636363635,195156.0
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,1,249283.86363636365,195156.0
0,1,252158.63636363635,195156.0
0,1,252158.63636363635,195156.0
0,1,252158.63636363635,195156.0
0,0,243945.0,213226.0
0,1,249283.86363636365,195156.0
0,0,243945.0,219550.5
0,1,252158.63636363635,195156.0
0,3,268585.9090909091,146367.0
0,1,252158.63636363635,195156.0
0,1,249283.86363636365,195156.0
0,1,252158.63636363635,195156.0
0,1,252158.63636363635,195156.0
0,1,252158.63636363635,195156.0
0,1,252158.63636363635,195156.0
0,1,252158.63636363635,195156.0
0,0,243945.0,219550.5
0,1,252158.63636363635,195156.0
0,0,241070.22727272726,219550.5
0,1,249283.86363636365,195156.0
0,0,243945.0,213226.0
0,0,243945.0,219550.5
0,1,252158.63636363635,195156.0
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,1,252158.63636363635,188831.5
0,1,252158.63636363635,195156.0
0,0,243945.0,213226.0
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,1,252158.63636363635,195156.0
0,0,243945.0,219550.5
0,0,241070.22727272726,219550.5
0,1,252158.63636363635,195156.0
0,0,241070.22727272726,219550.5
0,1,252158.63636363635,195156.0
0,1,249283.86363636365,188831.5
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,1,252158.63636363635,195156.0
0,2,257497.5,170761.5
0,2,257497.5,170761.5
0,2,260372.27272727274,170761.5
0,2,260372.27272727274,170761.5
0,1,252158.63636363635,195156.0
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,1,252158.63636363635,195156.0
0,0,243945.0,219550.5
0,1,252158.63636363635,195156.0
0,0,243945.0,219550.5
0,1,252158.63636363635,195156.0
0,0,243945.0,219550.5
0,1,249283.86363636365,195156.0
0,0,241070.22727272726,219550.5
0,0,243945.0,219550.5
0,1,252158.63636363635,195156.0
0,0,243945.0,219550.5
0,1,252158.63636363635,195156.0
0,0,243945.0,219550.5
0,3,268585.9090909091,146367.0
0,0,243945.0,213226.0
0,1,252158.63636363635,195156.0
0,2,260372.27272727274,170761.5
0,0,243945.0,219550.5
0,2,260372.27272727274,170761.5
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,1,252158.63636363635,195156.0
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,0,241070.22727272726,219550.5
0,1,249283.86363636365,195156.0
0,0,243945.0,219550.5
0,0,241070.22727272726,219550.5
0,1,249283.86363636365,195156.0
0,1,252158.63636363635,195156.0
0,0,243945.0,219550.5
0,0,241070.22727272726,219550.5
0,0,243945.0,219550.5
0,1,252158.63636363635,195156.0
0,0,243945.0,219550.5
0,1,252158.63636363635,195156.0
0,0,243945.0,219550.5
0,1,252158.63636363635,195156.0
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,0,241070.22727272726,219550.5
0,0,243945.0,219550.5
0,2,260372.27272727274,170761.5
0,0,243945.0,219550.5
0,0,241070.22727272726,219550.5
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,1,249283.86363636365,195156.0
0,0,243945.0,219550.5
0,3,268585.9090909091,146367.0
0,2,260372.27272727274,170761.5
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,2,260372.27272727274,170761.5
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,1,252158.63636363635,195156.0
0,0,243945.0,213226.0
0,1,252158.63636363635,195156.0
0,0,243945.0,219550.5
0,1,252158.63636363635,195156.0
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,1,252158.63636363635,195156.0
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,1,252158.63636363635,195156.0
0,0,243945.0,219550.5
0,1,252158.63636363635,188831.5
0,1,252158.63636363635,195156.0
0,2,260372.27272727274,170761.5
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,1,252158.63636363635,195156.0
0,0,243945.0,219550.5
0,1,252158.63636363635,188831.5
0,0,243945.0,219550.5
0,1,252158.63636363635,195156.0
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,1,252158.63636363635,195156.0
0,0,243945.0,219550.5
0,1,252158.63636363635,195156.0
0,0,243945.0,219550.5
0,1,252158.63636363635,195156.0
0,1,252158.63636363635,182507.0
0,1,249283.86363636365,195156.0
0,0,241070.22727272726,213226.0
0,1,249283.86363636365,195156.0
0,0,243945.0,219550.5
0,2,260372.27272727274,170761.5
0,0,243945.0,219550.5
0,1,252158.63636363635,195156.0
0,0,243945.0,213226.0
0,0,243945.0,219550.5
0,0,241070.22727272726,219550.5
0,1,252158.63636363635,195156.0
0,0,241070.22727272726,219550.5
0,0,243945.0,219550.5
0,0,241070.22727272726,219550.5
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,0,243945.0,219550.5
1,0,232856.5909090909,231296.0
0,1,252158.63636363635,188831.5
0,1,252158.63636363635,195156.0
0,1,252158.63636363635,188831.5
0,0,243945.0,213226.0
0,0,243945.0,219550.5
0,1,252158.63636363635,195156.0
0,1,252158.63636363635,195156.0
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,1,252158.63636363635,195156.0
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,2,260372.27272727274,170761.5
0,1,252158.63636363635,195156.0
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,0,241070.22727272726,219550.5
0,0,243945.0,213226.0
0,0,243945.0,219550.5
0,1,252158.63636363635,195156.0
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,1,252158.63636363635,195156.0
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,1,252158.63636363635,195156.0
0,0,243945.0,219550.5
0,0,243945.0,213226.0
0,1,252158.63636363635,195156.0
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,0,243945.0,219550.5
1,1,252158.63636363635,188831.5
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,1,252158.63636363635,195156.0
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,1,252158.63636363635,195156.0
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,1,252158.63636363635,195156.0
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,1,252158.63636363635,195156.0
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,1,252158.63636363635,195156.0
0,0,243945.0,219550.5
0,1,252158.63636363635,195156.0
0,0,243945.0,219550.5
0,1,252158.63636363635,195156.0
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,1,252158.63636363635,195156.0
0,1,252158.63636363635,195156.0
0,0,243945.0,219550.5
0,1,252158.63636363635,195156.0
0,2,260372.27272727274,170761.5
0,0,243945.0,219550.5
0,1,252158.63636363635,195156.0
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,2,260372.27272727274,170761.5
0,0,243945.0,213226.0
