Successfull forks, Failed forks, Average honest reward, Average malicious reward
0,8,309654.0909090909,24394.5
0,8,309654.0909090909,24394.5
0,7,301440.45454545453,48789.0
1,7,290352.04545454547,60534.5
0,8,309654.0909090909,24394.5
0,8,309654.0909090909,24394.5
0,8,309654.0909090909,24394.5
0,8,309654.0909090909,24394.5
0,8,309654.0909090909,24394.5
0,8,309654.0909090909,24394.5
0,8,309654.0909090909,24394.5
0,8,309654.0909090909,24394.5
0,8,309654.0909090909,24394.5
0,8,309654.0909090909,24394.5
0,8,309654.0909090909,24394.5
0,8,309654.0909090909,24394.5
0,8,309654.0909090909,24394.5
0,8,309654.0909090909,24394.5
0,8,309654.0909090909,24394.5
0,8,309654.0909090909,24394.5
3,5,257086.81818181818,114744.5
3,5,257086.81818181818,114744.5
3,5,257086.81818181818,114744.5
3,5,257086.81818181818,114744.5
3,5,257086.81818181818,114744.5
3,5,257086.81818181818,114744.5
3,5,257086.81818181818,114744.5
3,5,257086.81818181818,114744.5
3,5,251337.27272727274,114744.5
3,5,251337.27272727274,114744.5
3,5,251337.27272727274,114744.5
3,5,251337.27272727274,114744.5
3,5,251337.27272727274,114744.5
3,5,251337.27272727274,114744.5
3,5,251337.27272727274,114744.5
0,8,303904.54545454547,24394.5
0,8,303904.54545454547,24394.5
0,8,309654.0909090909,24394.5
0,8,309654.0909090909,24394.5
0,8,309654.0909090909,24394.5
0,8,309654.0909090909,24394.5
0,8,309654.0909090909,24394.5
0,8,309654.0909090909,24394.5
0,8,309654.0909090909,24394.5
0,5,279263.63636363635,97578.0
0,5,279263.63636363635,97578.0
0,5,279263.63636363635,97578.0
0,5,279263.63636363635,97578.0
0,5,279263.63636363635,97578.0
0,5,279263.63636363635,97578.0
0,5,279263.63636363635,97578.0
3,5,257086.81818181818,114744.5
0,8,309654.0909090909,24394.5
0,8,309654.0909090909,24394.5
0,8,309654.0909090909,24394.5
0,8,309654.0909090909,24394.5
0,8,309654.0909090909,24394.5
0,8,309654.0909090909,24394.5
0,8,309654.0909090909,24394.5
0,8,309654.0909090909,24394.5
3,5,257086.81818181818,114744.5
3,5,257086.81818181818,114744.5
3,5,257086.81818181818,114744.5
3,5,257086.81818181818,114744.5
0,5,279263.63636363635,97578.0
0,5,279263.63636363635,97578.0
0,5,279263.63636363635,97578.0
0,5,279263.63636363635,97578.0
0,4,271050.0,121972.5
0,5,279263.63636363635,97578.0
0,5,279263.63636363635,97578.0
0,5,279263.63636363635,97578.0
0,8,309654.0909090909,24394.5
1,7,290352.04545454547,60534.5
0,8,309654.0909090909,24394.5
0,8,309654.0909090909,24394.5
0,8,309654.0909090909,24394.5
0,8,309654.0909090909,24394.5
0,8,309654.0909090909,24394.5
0,8,309654.0909090909,24394.5
3,5,257086.81818181818,114744.5
3,5,257086.81818181818,114744.5
3,5,257086.81818181818,114744.5
3,5,257086.81818181818,114744.5
0,8,309654.0909090909,24394.5
0,8,309654.0909090909,24394.5
0,8,309654.0909090909,24394.5
0,8,309654.0909090909,24394.5
0,8,309654.0909090909,24394.5
0,8,309654.0909090909,24394.5
0,8,309654.0909090909,24394.5
0,8,309654.0909090909,24394.5
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,0,241070.22727272726,219550.5
0,0,243945.0,219550.5
0,0,243945.0,219550.5
3,5,257086.81818181818,114744.5
3,5,257086.81818181818,114744.5
3,5,257086.81818181818,114744.5
3,5,257086.81818181818,114744.5
3,5,257086.81818181818,114744.5
3,5,257086.81818181818,114744.5
3,5,257086.81818181818,114744.5
3,0,221768.18181818182,236717.0
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,5,279263.63636363635,97578.0
0,8,309654.0909090909,24394.5
0,8,309654.0909090909,24394.5
0,8,309654.0909090909,24394.5
0,8,309654.0909090909,24394.5
0,8,309654.0909090909,24394.5
0,7,301440.45454545453,42464.5
0,8,309654.0909090909,24394.5
2,6,265300.45454545453,96674.5
0,5,279263.63636363635,97578.0
0,5,279263.63636363635,97578.0
0,5,279263.63636363635,97578.0
