Successfull forks, Failed forks, Average honest reward, Average malicious reward
6,2,199180.68181818182,242138.0
6,2,199180.68181818182,242138.0
6,2,199180.68181818182,242138.0
6,2,199180.68181818182,242138.0
6,2,199180.68181818182,242138.0
6,2,199180.68181818182,242138.0
6,2,199180.68181818182,242138.0
6,2,199180.68181818182,242138.0
6,2,199180.68181818182,242138.0
6,2,199180.68181818182,242138.0
5,2,210269.0909090909,217743.5
6,2,199180.68181818182,242138.0
6,2,199180.68181818182,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,199180.68181818182,242138.0
6,2,199180.68181818182,242138.0
6,2,199180.68181818182,242138.0
6,2,199180.68181818182,242138.0
6,2,199180.68181818182,242138.0
6,2,199180.68181818182,242138.0
6,2,193431.13636363635,242138.0
6,2,199180.68181818182,242138.0
6,0,188502.95454545456,290927.0
6,0,188502.95454545456,290927.0
6,0,188502.95454545456,290927.0
6,0,188502.95454545456,290927.0
6,0,188502.95454545456,290927.0
6,0,188502.95454545456,290927.0
6,0,188502.95454545456,290927.0
6,2,199180.68181818182,242138.0
6,2,199180.68181818182,242138.0
5,2,207394.31818181818,217743.5
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
3,0,199180.68181818182,273760.5
3,0,199180.68181818182,273760.5
0,0,243945.0,219550.5
0,0,241070.22727272726,219550.5
6,2,199180.68181818182,242138.0
6,2,199180.68181818182,242138.0
6,2,199180.68181818182,242138.0
6,2,193431.13636363635,242138.0
5,2,207394.31818181818,217743.5
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,0,188502.95454545456,290927.0
6,0,188502.95454545456,290927.0
6,0,177003.86363636365,290927.0
5,1,185217.5,272857.0
6,0,177003.86363636365,290927.0
6,0,177003.86363636365,290927.0
6,0,177003.86363636365,290927.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,196305.9090909091,242138.0
6,2,193431.13636363635,242138.0
6,2,196305.9090909091,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,196305.9090909091,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
5,1,185217.5,272857.0
3,0,199180.68181818182,273760.5
3,0,199180.68181818182,273760.5
3,0,199180.68181818182,273760.5
3,0,199180.68181818182,273760.5
3,0,199180.68181818182,273760.5
3,0,199180.68181818182,273760.5
6,0,177003.86363636365,290927.0
6,0,177003.86363636365,290927.0
6,0,177003.86363636365,290927.0
6,0,179878.63636363635,290927.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,0,177003.86363636365,290927.0
2,0,210269.0909090909,255690.5
3,0,199180.68181818182,273760.5
3,0,199180.68181818182,273760.5
3,0,199180.68181818182,273760.5
3,0,199180.68181818182,273760.5
3,0,199180.68181818182,273760.5
3,0,199180.68181818182,273760.5
3,0,199180.68181818182,273760.5
6,0,177003.86363636365,290927.0
6,1,185217.5,266532.5
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,0,177003.86363636365,290927.0
6,0,177003.86363636365,290927.0
3,0,199180.68181818182,273760.5
3,0,199180.68181818182,273760.5
3,0,199180.68181818182,273760.5
3,0,199180.68181818182,273760.5
3,0,199180.68181818182,273760.5
6,0,177003.86363636365,290927.0
6,0,177003.86363636365,290927.0
6,0,177003.86363636365,290927.0
5,2,204519.54545454544,230392.5
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
5,3,212733.18181818182,199673.5
6,0,177003.86363636365,290927.0
6,0,177003.86363636365,290927.0
3,0,202055.45454545456,273760.5
3,0,199180.68181818182,273760.5
3,0,199180.68181818182,273760.5
6,0,177003.86363636365,290927.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,196305.9090909091,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,0,177003.86363636365,290927.0
6,0,177003.86363636365,290927.0
3,0,199180.68181818182,273760.5
3,0,199180.68181818182,273760.5
3,0,199180.68181818182,273760.5
3,0,199180.68181818182,273760.5
3,0,199180.68181818182,273760.5
3,0,199180.68181818182,273760.5
3,0,199180.68181818182,273760.5
5,0,188092.27272727274,266532.5
6,0,177003.86363636365,290927.0
6,0,177003.86363636365,290927.0
6,0,177003.86363636365,290927.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
3,0,199180.68181818182,273760.5
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,0,243945.0,219550.5
0,0,243945.0,219550.5
3,0,199180.68181818182,273760.5
6,0,177003.86363636365,290927.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,0,177003.86363636365,290927.0
6,0,177003.86363636365,290927.0
6,0,177003.86363636365,290927.0
4,1,207394.31818181818,230392.5
6,0,177003.86363636365,290927.0
6,0,177003.86363636365,290927.0
6,0,177003.86363636365,290927.0
6,0,177003.86363636365,290927.0
6,0,177003.86363636365,290927.0
5,0,188092.27272727274,266532.5
6,0,177003.86363636365,290927.0
6,0,179878.63636363635,290927.0
6,0,177003.86363636365,290927.0
6,0,177003.86363636365,290927.0
6,0,177003.86363636365,290927.0
6,0,177003.86363636365,290927.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,0,177003.86363636365,290927.0
5,1,196305.9090909091,254787.0
6,0,177003.86363636365,290927.0
6,0,177003.86363636365,290927.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,1,185217.5,266532.5
6,2,193431.13636363635,242138.0
5,3,201644.77272727274,224068.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
5,3,201644.77272727274,224068.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
5,3,201644.77272727274,224068.0
6,0,177003.86363636365,290927.0
3,0,199180.68181818182,273760.5
3,0,199180.68181818182,273760.5
3,0,199180.68181818182,273760.5
6,0,179878.63636363635,290927.0
6,0,177003.86363636365,290927.0
3,0,199180.68181818182,273760.5
3,5,245998.4090909091,151788.0
3,5,245998.4090909091,151788.0
3,5,245998.4090909091,151788.0
3,5,245998.4090909091,151788.0
3,5,245998.4090909091,151788.0
3,5,245998.4090909091,151788.0
3,5,245998.4090909091,151788.0
3,5,245998.4090909091,151788.0
3,0,199180.68181818182,273760.5
3,0,199180.68181818182,273760.5
3,0,199180.68181818182,273760.5
3,0,199180.68181818182,273760.5
3,0,199180.68181818182,273760.5
3,5,245998.4090909091,151788.0
3,5,245998.4090909091,151788.0
2,5,257086.81818181818,127393.5
3,5,245998.4090909091,151788.0
3,5,245998.4090909091,151788.0
3,5,245998.4090909091,151788.0
3,5,245998.4090909091,151788.0
3,0,199180.68181818182,273760.5
3,1,207394.31818181818,249366.0
3,0,199180.68181818182,273760.5
3,0,199180.68181818182,273760.5
3,0,199180.68181818182,273760.5
3,0,199180.68181818182,273760.5
3,0,199180.68181818182,273760.5
3,0,199180.68181818182,273760.5
3,0,199180.68181818182,273760.5
6,0,177003.86363636365,290927.0
6,0,177003.86363636365,290927.0
6,0,177003.86363636365,290927.0
6,0,177003.86363636365,290927.0
6,1,185217.5,266532.5
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
5,2,204519.54545454544,230392.5
6,2,193431.13636363635,242138.0
3,0,199180.68181818182,273760.5
3,0,199180.68181818182,273760.5
3,0,199180.68181818182,273760.5
3,0,199180.68181818182,273760.5
3,0,199180.68181818182,273760.5
3,0,199180.68181818182,273760.5
2,0,210269.0909090909,249366.0
3,0,199180.68181818182,273760.5
6,0,177003.86363636365,290927.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
5,3,212733.18181818182,199673.5
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
3,0,199180.68181818182,273760.5
3,0,199180.68181818182,273760.5
2,0,210269.0909090909,249366.0
3,0,199180.68181818182,273760.5
3,0,199180.68181818182,273760.5
3,0,199180.68181818182,273760.5
3,0,199180.68181818182,273760.5
3,0,199180.68181818182,273760.5
3,0,199180.68181818182,273760.5
3,0,199180.68181818182,273760.5
6,0,177003.86363636365,290927.0
6,0,177003.86363636365,290927.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
5,2,204519.54545454544,230392.5
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
3,5,245998.4090909091,151788.0
3,0,199180.68181818182,273760.5
3,0,199180.68181818182,273760.5
3,0,199180.68181818182,273760.5
3,5,245998.4090909091,151788.0
3,5,245998.4090909091,151788.0
3,5,245998.4090909091,151788.0
3,5,245998.4090909091,151788.0
3,5,245998.4090909091,151788.0
6,2,193431.13636363635,242138.0
6,2,193431.13636363635,242138.0
